01/04/2019 15:05:25 ,DEBUG  ,[PersistenceUnitInfo [
	name: myJpaPersistenceUnit
	persistence provider classname: null
	classloader: ParallelWebappClassLoader
  context: SpringDataJpa
  delegate: false
----------> Parent Classloader:
java.net.URLClassLoader@49476842

	excludeUnlistedClasses: true
	JTA datasource: null
	Non JTA datasource: org.springframework.jdbc.datasource.DriverManagerDataSource@3f0b48b7
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/C:/Users/Dev%20PC/workspace/.metadata/.plugins/org.eclipse.wst.server.core/tmp0/wtpwebapps/SpringDataJpa/WEB-INF/classes/
	Shared Cache Mode: UNSPECIFIED
	Validation Mode: AUTO
	Jar files URLs []
	Managed classes names [
		com.spring.model.User]
	Mapping files names []
	Properties []] , [org.hibernate.jpa.internal.util.LogHelper.logPersistenceUnitInformation(LogHelper.java:102)], localhost-startStop-1, 492 
01/04/2019 15:05:25 ,DEBUG  ,[Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].] , [org.hibernate.integrator.internal.IntegratorServiceImpl.addIntegrator(IntegratorServiceImpl.java:46)], localhost-startStop-1, 568 
01/04/2019 15:05:26 ,DEBUG  ,[Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].] , [org.hibernate.integrator.internal.IntegratorServiceImpl.addIntegrator(IntegratorServiceImpl.java:46)], localhost-startStop-1, 586 
01/04/2019 15:05:26 ,DEBUG  ,[Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].] , [org.hibernate.integrator.internal.IntegratorServiceImpl.addIntegrator(IntegratorServiceImpl.java:46)], localhost-startStop-1, 603 
01/04/2019 15:05:26 ,DEBUG  ,[Adding Integrator [org.hibernate.jpa.event.spi.JpaIntegrator].] , [org.hibernate.integrator.internal.IntegratorServiceImpl.addIntegrator(IntegratorServiceImpl.java:46)], localhost-startStop-1, 603 
01/04/2019 15:05:26 ,INFO   ,[HHH000412: Hibernate Core {5.0.2.Final}] , [org.hibernate.Version.logVersion(Version.java:37)], localhost-startStop-1, 940 
01/04/2019 15:05:26 ,INFO   ,[HHH000206: hibernate.properties not found] , [org.hibernate.cfg.Environment.<clinit>(Environment.java:213)], localhost-startStop-1, 944 
01/04/2019 15:05:26 ,INFO   ,[HHH000021: Bytecode provider name : javassist] , [org.hibernate.cfg.Environment.buildBytecodeProvider(Environment.java:317)], localhost-startStop-1, 957 
01/04/2019 15:05:26 ,DEBUG  ,[Overriding existing service binding [org.hibernate.secure.spi.JaccService]] , [org.hibernate.service.spi.ServiceBinding.setService(ServiceBinding.java:68)], localhost-startStop-1, 1018 
01/04/2019 15:05:26 ,DEBUG  ,[Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory] , [org.hibernate.cache.internal.RegionFactoryInitiator.initiateService(RegionFactoryInitiator.java:88)], localhost-startStop-1, 1189 
01/04/2019 15:05:26 ,INFO   ,[HCANN000001: Hibernate Commons Annotations {5.0.0.Final}] , [org.hibernate.annotations.common.reflection.java.JavaReflectionManager.<clinit>(JavaReflectionManager.java:66)], localhost-startStop-1, 1235 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration boolean -> org.hibernate.type.BooleanType@1a22384] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1453 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration boolean -> org.hibernate.type.BooleanType@1a22384] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1453 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@1a22384] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1453 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4cd059fc] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1456 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration true_false -> org.hibernate.type.TrueFalseType@329d2529] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1461 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration yes_no -> org.hibernate.type.YesNoType@484333fb] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1463 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration byte -> org.hibernate.type.ByteType@7ed9b6a7] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1468 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration byte -> org.hibernate.type.ByteType@7ed9b6a7] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1468 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@7ed9b6a7] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1468 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration character -> org.hibernate.type.CharacterType@5d4418c] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1472 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration char -> org.hibernate.type.CharacterType@5d4418c] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1473 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@5d4418c] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1473 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration short -> org.hibernate.type.ShortType@2a085957] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1478 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration short -> org.hibernate.type.ShortType@2a085957] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1478 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration java.lang.Short -> org.hibernate.type.ShortType@2a085957] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1479 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration integer -> org.hibernate.type.IntegerType@6892104f] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1481 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration int -> org.hibernate.type.IntegerType@6892104f] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1482 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@6892104f] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1482 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration long -> org.hibernate.type.LongType@74c4af5c] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1486 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration long -> org.hibernate.type.LongType@74c4af5c] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1487 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration java.lang.Long -> org.hibernate.type.LongType@74c4af5c] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1487 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration float -> org.hibernate.type.FloatType@38e8106] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1492 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration float -> org.hibernate.type.FloatType@38e8106] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1493 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration java.lang.Float -> org.hibernate.type.FloatType@38e8106] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1493 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration double -> org.hibernate.type.DoubleType@fd2404f] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1499 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration double -> org.hibernate.type.DoubleType@fd2404f] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1499 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@fd2404f] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1500 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@65a3f037] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1509 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@65a3f037] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1510 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration big_integer -> org.hibernate.type.BigIntegerType@1e811b61] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1513 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@1e811b61] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1514 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration string -> org.hibernate.type.StringType@2263c2dc] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1516 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration java.lang.String -> org.hibernate.type.StringType@2263c2dc] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1517 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration nstring -> org.hibernate.type.StringNVarcharType@14fc584a] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1519 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@6737d7ce] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1523 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration url -> org.hibernate.type.UrlType@781ec156] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1527 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration java.net.URL -> org.hibernate.type.UrlType@781ec156] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1527 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration date -> org.hibernate.type.DateType@5bf95335] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1537 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration java.sql.Date -> org.hibernate.type.DateType@5bf95335] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1537 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration time -> org.hibernate.type.TimeType@2343fd9] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1541 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration java.sql.Time -> org.hibernate.type.TimeType@2343fd9] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1542 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration timestamp -> org.hibernate.type.TimestampType@2036c6d9] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1547 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@2036c6d9] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1548 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration java.util.Date -> org.hibernate.type.TimestampType@2036c6d9] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1548 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@59b26810] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1552 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration calendar -> org.hibernate.type.CalendarType@370320cb] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1556 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@370320cb] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1556 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@370320cb] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1557 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@bd1001e] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1560 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration locale -> org.hibernate.type.LocaleType@1650e63a] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1565 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@1650e63a] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1565 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration currency -> org.hibernate.type.CurrencyType@78ccefe6] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1568 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@78ccefe6] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1569 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration timezone -> org.hibernate.type.TimeZoneType@5cdc281c] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1571 
01/04/2019 15:05:26 ,DEBUG  ,[Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@5cdc281c] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1571 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration class -> org.hibernate.type.ClassType@1e3eb805] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1574 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration java.lang.Class -> org.hibernate.type.ClassType@1e3eb805] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1574 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@52ece1dc] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1583 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@52ece1dc] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1583 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@2d0063f8] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1584 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration binary -> org.hibernate.type.BinaryType@69909033] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1587 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration byte[] -> org.hibernate.type.BinaryType@69909033] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1588 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration [B -> org.hibernate.type.BinaryType@69909033] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1588 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@36ad6c30] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1591 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@36ad6c30] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1591 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@36ad6c30] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1592 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration image -> org.hibernate.type.ImageType@590253b1] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1595 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration characters -> org.hibernate.type.CharArrayType@3739a4e3] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1598 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration char[] -> org.hibernate.type.CharArrayType@3739a4e3] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1598 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration [C -> org.hibernate.type.CharArrayType@3739a4e3] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1599 
01/04/2019 15:05:27 ,DEBUG  ,[Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@64177cb2] , [org.hibernate.type.BasicTypeRegistry.register(BasicTypeRegistry.java:135)], localhost-startStop-1, 1602 
